Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Юлдаш,кафе,Кафе,"Урожайная улица, 16",,,,,,Муслюмовский район,Республика Татарстан,Россия,Пн: 07:00-17:00; Вт: 07:00-17:00; Ср: 07:00-17:00; Чт: 07:00-17:00; Пт: 07:00-17:00; Сб: 07:00-17:00; Вс: 07:00-13:00,+03:00,2.0,3,89503290996,,,,,,,,https://wa.me/79503290996,,,,,,,,55.298751,53.205691,https://2gis.com/firm/70000001056371000
Зирекле,кафе,Кафе,"Р-239 183 километр, 1",,,,,,Новошешминский район,Республика Татарстан,Россия,Пн: 04:00-01:00; Вт: 04:00-01:00; Ср: 04:00-01:00; Чт: 04:00-01:00; Пт: 04:00-01:00; Сб: 04:00-01:00; Вс: 04:00-01:00,+03:00,4.9,10,89393199000,,,,,,,,,,,,,,,,55.168595,51.431401,https://2gis.com/firm/70000001032854000
Транснефть,кафе,Кафе,"М-5 1265 Километр, 3",,,,,Бавлы,Бавлинский район,Республика Татарстан,Россия,Пн: 05:00-24:00; Вт: 05:00-24:00; Ср: 05:00-24:00; Чт: 05:00-24:00; Пт: 05:00-24:00; Сб: 05:00-24:00; Вс: 05:00-24:00,+03:00,4.2,4,89600760646,89172485880,,,,,,,https://wa.me/79172485880,,,,,,,,54.441392,53.209007,https://2gis.com/firm/70000001032871705
Кафе,,Кафе,"село Федотово, 1а/2",,,,,,Заинский район,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,1.0,1,88552230063,,,,,,,https://vk.com/fedotovoclub,,,,,,,,,55.455059,52.069685,https://2gis.com/firm/70000001047075389
Кафе,,Кафе,"Центральная улица, 3",,,,,,Заинский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,55.454829,52.061337,https://2gis.com/firm/70000001062064521
Чайхана,,Кафе,"улица Салиха Сайдашева, 2/4а",,,,,Бавлы,Бавлинский район,Республика Татарстан,Россия,,+03:00,2.7,11,,,,,,,,,,,,,,,,,54.400354,53.23017,https://2gis.com/firm/70000001061725935
Кафе,,Кафе,"посёлок Камские Поляны, 2/1",,,,,,Нижнекамский район,Республика Татарстан,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,,,,,,,,,,,,,,,,,55.422607,51.367099,https://2gis.com/firm/70000001061172343
Эдем,кафе,Столовые,"М-7 922 километр, 1",,,,,,Рыбно-Слободский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,18,,,,,,,,,,,,,,,,,55.677799,50.677681,https://2gis.com/firm/70000001032861190
Family,кафе,Быстрое питание,"Челнинский тракт, 8",,,,,Мензелинск,Мензелинский район,Республика Татарстан,Россия,,+03:00,5.0,5,,,,,,,,,,,,,,,,,55.718682,53.084153,https://2gis.com/firm/70000001061910694
Чайхана,,Кафе,"улица Шашина, 2",,,,,,Муслюмовский район,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,1.0,1,89173998806,,,,,,,,,,,,,,,,55.302637,53.187299,https://2gis.com/firm/70000001066284094
Дуслык,кафе,Кафе,"улица Пушкина, 45",,,,,,Муслюмовский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,55.304189,53.197194,https://2gis.com/firm/70000001080733228
Восточная кухня халяль,кафе,Столовые,"М-7 971 километр, 4 ст4",,,,,,Мамадышский район,Республика Татарстан,Россия,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+03:00,5.0,3,89033424464,,,,,,,,,,,,,,,,55.650001,51.384276,https://2gis.com/firm/70000001032855539
Кафе,,Кафе,"Банковская улица, 55а",,,,,,Муслюмовский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,55.305431,53.201466,https://2gis.com/firm/70000001066239834
Казиле,кафе,Столовые,"М-7 991 километр, 2",,,,,,Елабужский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,8,89677788801,,,,,,,,,,,,,,,,55.711621,51.62754,https://2gis.com/firm/70000001056794168
Фарида,кафе,Быстрое питание,"улица Баумана, 14а/1",273 павильон; 1 этаж,,,,Бугульма,Бугульминский район,Республика Татарстан,Россия,Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+03:00,,,,,,,,,,,,,,,,,,,54.533938,52.804103,https://2gis.com/firm/70000001071160267
Империал,кафе,Рестораны,"Советская улица, 150",,,,,Бугульма,Бугульминский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,,,,,,,,,,,,,,,,,,,54.524542,52.820972,https://2gis.com/firm/70000001061874076
Cheezkit,кафе,Доставка готовых блюд,"улица Химиков, 5а",остановка Магазин Руслан,,,,Менделеевск,Менделеевский район,Республика Татарстан,Россия,Пн: 10:00-22:45; Вт: 10:00-22:45; Ср: 10:00-22:45; Чт: 10:00-22:45; Пт: 10:00-22:45; Сб: 10:00-22:45; Вс: 10:00-22:45,+03:00,5.0,1,89393714476,,,,,http://cheezkit-rolls.online,,https://vk.com/cheez_kit,,,,,,,,,55.884193,52.310005,https://2gis.com/firm/70000001069517474
Safar,кафе,Столовые,"трасса М-7 1130 км, 1",,,,,,Актанышский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,6,,,,,,,,,,,,,,,,,55.551389,53.407823,https://2gis.com/firm/70000001066281948
Кафе,,Быстрое питание,"улица Ленина, 48",,,,,,Новошешминский район,Республика Татарстан,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,1.5,2,,,,,,,,,,,,,,,,,55.063597,51.229194,https://2gis.com/firm/70000001066269668
Лето,кафе,Быстрое питание,"Мирная улица, 100Б",,,,,,Алексеевский район,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,,,,,,,,https://vk.com/id739298736,,,,,,,,,55.310222,50.302917,https://2gis.com/firm/70000001076029923
Султан,кафе,Быстрое питание; Кондитерские изделия,"улица Гагарина, 31",,,,,Кукмор,Кукморский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,56.181701,50.890686,https://2gis.com/firm/70000001061910649
Марьям,кафе,,"улица Ленина, 98",,,,,Мамадыш,Мамадышский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,55.723305,51.404086,https://2gis.com/firm/70000001075484535
Науруз,кафе,Быстрое питание,"улица Кошевого, 36а",,,,,Лаишево,Лаишевский район,Республика Татарстан,Россия,,+03:00,5.0,4,,,,,,,,,,,,,,,,,55.404864,49.559052,https://2gis.com/firm/70000001076013580
Лианор,кафе,,"Первомайская улица, 21а",,,,,Арск,Арский район,Республика Татарстан,Россия,,+03:00,5.0,1,,,,,,,,,,,,,,,,,56.091958,49.871933,https://2gis.com/firm/70000001076006483
Курлянка,кафе,Столовые,"трасса Р-239 87 км, 1",,,,,,Алексеевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.5,2,,,,,,,,,,,,,,,,,55.305099,50.051465,https://2gis.com/firm/70000001076029949
Русские пельмени,кафе-магазин,Кафе; Мясо / Полуфабрикаты,"Отке, 56",,689000,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (кафе: пн 9:00-18:00; вт-вс 9:00-23:00),+12:00,2.8,5,84272226847,,,,,,,,,,,,,,,,64.736549,177.496827,https://2gis.com/firm/70000001030438197
Трактир,кафе,Кафе,,,,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+12:00,2.0,4,89246673344,,,,,,,,https://wa.me/79246673344,,,,,,,,64.730242,177.533293,https://2gis.com/firm/70000001042204483
Гости,кафе,Кафе,"Отке, 14",,689000,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,Пн: 07:30-20:00; Вт: 07:30-20:00; Ср: 07:30-20:00; Чт: 07:30-20:00; Пт: 07:30-20:00; Сб: 07:30-20:00; Вс: 07:30-20:00,+12:00,4.2,11,89246686979,,,,,,,,https://wa.me/79140804330,https://wa.me/79246686979,,,,,,,64.733699,177.517217,https://2gis.com/firm/70000001041736902
На Южной,кафе,Кафе,"Отке, 8",,689000,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 08:30-19:00,+12:00,,,,,,,,,,,,,,,,,,,64.733114,177.519353,https://2gis.com/firm/70000001066528313
Энэр,кафе-бар,Кафе; Бары; Доставка готовых блюд; Караоке-залы,"Отке, 29",,689000,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-05:00; Сб: 12:00-05:00 (кафе: вт-сб 11:00-2:00; служба доставки: вт-вс 12:00-21:00; караоке-зал: пт-сб 22:00-5:00),+12:00,1.0,2,84272228795,84272228794,,,,,,,,,,,,,,,64.736066,177.508702,https://2gis.com/firm/70000001060575021
Кафе,,Кафе,,,689000,,,Анадырь,Анадырь городской округ,Чукотский автономный округ,Россия,,+12:00,,,,,,,,,,,,,,,,,,,64.737219,177.512113,https://2gis.com/firm/70000001077453458
Кафе,,Кафе,"Портовая улица, 6",,,,,,Анадырский район,Чукотский автономный округ,Россия,,+12:00,,,,,,,,,,,,,,,,,,,64.713273,177.738413,https://2gis.com/firm/70000001066064236
Варенье,кафе-пекарня,Кафе; Пекарни; Безалкогольные напитки,"Лавриненко, 66",,352902,Мясокомбинат м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,10,88002003542 (единый номер: пн-вс 9:00-21:00),,,ooo-varenie@mail.ru,,,,https://vk.com/kafe.pekarnya.varenie,,,,,,,,,44.975667,41.148934,https://2gis.com/firm/70000001067960540
Суши роли,кафе,Суши-бары; Кафе; Доставка готовых блюд,"улица Мира, 22/7",2 этаж,352900,Ж/д вокзал №1 м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,5.0,7,89182979976,,,,,http://суши-роли.рф,,,https://wa.me/79182979976,,,,,https://t.me/79182979976,https://t.me/sushi_roli23,,44.998615,41.125369,https://2gis.com/firm/70000001075881704
Bar`bq,шашлычная,Кафе; Доставка готовых блюд,"улица Каспарова, 136",1 этаж,352930,СТ Дружба 5,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:00-23:00),+03:00,3.5,56,89183373030,,,,,,,,,,,,,,,,44.978973,41.073939,https://2gis.com/firm/70000001022552474
Сицилия,пиццерия,Пиццерии; Доставка готовых блюд; Кафе,"Ленина, 88",,352900,Рынок м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 9:00-23:30),+03:00,3.7,73,88007377778,,,,,http://pizza-sicilia.ru,,https://vk.com/pizzasicilia,,,,,,https://t.me/siciliapizza,,,44.997293,41.131643,https://2gis.com/firm/70000001020379230
Barbaris,кафе-бар,Кафе; Бары,"улица Комсомольская, 129",1 этаж,352900,Центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 13:00-03:00; Вс: 13:00-02:00,+03:00,4.3,39,89002525009,,,,,http://cafe-barbaris.ru,,https://vk.com/artberryproject,https://wa.me/79002525009,,,,,,,,45.000108,41.130474,https://2gis.com/firm/70000001020295373
Barista&Povarista,гастрокафе,Кафе; Доставка готовых блюд,"улица Комсомольская, 118а",,352900,Центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.9,80,89184447474,,,,,http://baristapovarista.ru,,,https://wa.me/79184447474,,,,,,,,44.999792,41.130623,https://2gis.com/firm/70000001053026751
City kids,семейное кафе,Кафе,"улица Ефремова, 123/5",2 этаж,352932,Бар м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 12:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (Режим работы на праздники: 6 ноября с 10:00 до 21:00; 7 ноября с 12:00 до 21:00),+03:00,3.8,32,89891421177,,,,,,,,https://wa.me/79891421177,,,,,,,,44.990921,41.10184,https://2gis.com/firm/70000001032204714
Имбирь Бар,кафе,Доставка готовых блюд; Кафе,"улица Мира, 51а",,352900,Ж/д вокзал №1 м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.5,150,89180888844,,,,,http://imbirbar.ru,,https://vk.com/imbirbar,https://wa.me/79180888844,,,,,,,,44.998429,41.127325,https://2gis.com/firm/70000001023553392
Жар пицца,кафе,Кафе; Пиццерии; Доставка готовых блюд,"улица Розы Люксембург, 165",1-2 этаж,352901,Старый центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,3.9,11,88001015150,88613754540 (единая справочная: пн-вс 9:00-23:00),,,,http://pizza-cafe.ru,,https://vk.com/jarpizzacafe,,,,,,,,,45.001203,41.133515,https://2gis.com/firm/70000001046683708
Бизон,шашлычная,Кафе; Доставка готовых блюд,"улица Советской Армии, 83",,352932,Бар м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.6,20,89384141300,,,,,,,,,,,,,,,,44.990944,41.09575,https://2gis.com/firm/70000001029135904
Мимино,кафе,Кафе; Доставка готовых блюд,"Тургенева, 131",,352905,Комсомолец м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,24,89180072933,,,,,,,,https://wa.me/79180072933,,,,,,,,44.989789,41.130221,https://2gis.com/firm/70000001027452874
Жар пицца,кафе,Кафе; Пиццерии; Доставка готовых блюд,"Новороссийская, 78/3",,352913,Черёмушки м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-23:30),+03:00,4.1,91,88001015150,88613754540 (единая справочная: пн-вс 9:00-23:00),,,,http://pizza-cafe.ru,,https://vk.com/jarpizzacafe,,,,,,,,,44.990664,41.07061,https://2gis.com/firm/14918703047261877
Печки-лавочки,,Кафе; Доставка готовых блюд,"Карла Маркса, 166а",,352900,ЗВТ м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,11,89181232121,88613772121,,,,,,,,,,,,,,,44.988881,41.112515,https://2gis.com/firm/70000001006559926
Шайка-лейка,кафе,Кафе; Доставка готовых блюд; Быстрое питание,"улица Кирова, 114",1 этаж,352905,Романтика м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.0,50,89892955999,,,,,http://shaikaleica.ru,,https://vk.com/shaikaleica,https://wa.me/79892955999,,,,,,,,44.990359,41.121745,https://2gis.com/firm/70000001029781543
Хали гали,кафе-шашлычная,Кафе; Доставка готовых блюд,"улица Комсомольская, 124",,352900,Центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.5,15,89883669666,,,,,,,,https://wa.me/79883669666,,,,,,,,44.998831,41.132937,https://2gis.com/firm/70000001035155587
Star park,семейное кафе,Кафе,"улица Луначарского, 317/5а",,352903,Мясокомбинат м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,5.0,4,89186908880,,,,,,,,https://wa.me/79186908880,,,,,,,,44.972586,41.154999,https://2gis.com/firm/70000001080141327
Castle Kids Plaza,семейное кафе,Кафе; Доставка готовых блюд; Безалкогольные напитки; Детские / подростковые клубы; Организация и проведение праздников,"улица Ефремова, 285",1-2 этаж; правое крыло,352910,СТ Заря Востока,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 12:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.3,18,89189251717,,,,,,,,https://wa.me/79189251717,,,,,,,,44.976763,41.072869,https://2gis.com/firm/70000001042755285
121,шашлычная,Кафе; Доставка готовых блюд; Мясо / Полуфабрикаты,"улица Советской Армии, 121",1 этаж,352932,Бар м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.8,41,89282723333,89282720088 (администратор),,,,,,https://vk.com/shashlichnaya121,https://wa.me/79282723333,,,,,,,,44.987713,41.101724,https://2gis.com/firm/70000001026890785
Топор,кафе,Доставка готовых блюд; Кафе,"улица Кирова, 28а",,352901,Старый центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.3,4,89385555606,,,,,,,https://vk.com/club222579254,,,,,,,,,45.003193,41.133671,https://2gis.com/firm/70000001080507192
Dolce Vita,кафе,Кафе,"улица Розы Люксембург, 132",цокольный этаж,352900,Оптика м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.6,27,88613733403,88613757228,89181467214,,,,,https://vk.com/dolcevita.rest,https://wa.me/79181467214,,,,,,,,45.002755,41.128318,https://2gis.com/firm/14918703047262515
Park,кафе,Быстрое питание; Доставка готовых блюд,"улица Карла Либкнехта, 59",1 этаж,352900,Центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.5,44,89892107070,,,,,,,,,,,,,,,,45.001187,41.129989,https://2gis.com/firm/70000001039904033
Жар пицца,кафе,Кафе; Пиццерии; Доставка готовых блюд,"улица Кирова, 54/1",,352900,Центр м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-23:00),+03:00,4.0,66,88001015150,88613754540 (единая справочная: пн-вс 9:00-23:00),,,,http://pizza-cafe.ru,,https://vk.com/jarpizzacafe,,,,,,,,,44.998565,41.12966,https://2gis.com/firm/14918703047294237
Park,кафе,Быстрое питание; Доставка готовых блюд,"Новороссийская, 137а",,352924,Родина м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00 (время работы кухни: пн-вс 10:00-23:00),+03:00,3.9,16,89892157070,,,,,,,,,,,,,,,,44.994571,41.084146,https://2gis.com/firm/70000001055794155
Bar`bq,шашлычная,Кафе; Доставка готовых блюд,"Большевистская, 22",2 этаж,352240,,,Новокубанск,Новокубанский район,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.1,13,89189925050,89659925050,,,,,,,,,,,,,,,45.112111,41.034929,https://2gis.com/firm/70000001041090063
Три перца,кафе быстрого питания,Кафе; Доставка готовых блюд,"улица Советской Армии, 457",1 этаж,352915,Мясокомбинат м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.6,8,89182410068,,,,,,,,https://wa.me/79182410068,,,,,,,,44.967756,41.140585,https://2gis.com/firm/70000001036264384
Шашлычная №1,кафе,Кафе; Доставка готовых блюд,"улица Кирова, 150",,352905,Дом Офицеров м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,2.2,30,89186256010,89288846010,,,,,,,,,,,,,,,44.98567,41.116889,https://2gis.com/firm/70000001007551560
By Chef,кафе,Доставка готовых блюд; Кафе,"улица Ефремова, 101",1 этаж,352900,ЗВТ м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.3,24,89388888532,,,,,http://By-chef.ru,,https://vk.com/bychef,https://wa.me/79388888532,,,,,,,,44.992916,41.104496,https://2gis.com/firm/70000001051475474
Parmesan cafe,,Кафе; Доставка готовых блюд,"Тургенева, 296а",1 этаж,352902,Мясокомбинат м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.5,33,89000091209,,,,,http://parmesan-cafe.ru,,https://vk.com/parmesan_cafe,https://wa.me/79000091209,,,,,,,,44.975877,41.152195,https://2gis.com/firm/70000001006715296
Хорошее заведение,,Кафе,"Пугачёва, 7/4",,352919,Линии м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.2,9,89288812888,,,,,http://xz-armavir.ru,,,https://wa.me/79288812888,,,,,,,,44.994063,41.14732,https://2gis.com/firm/70000001055160279
California,кафе и служба доставки,Кафе; Доставка готовых блюд,"Тургенева, 144",,352905,Романтика м-н,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.6,30,88613770407 (единая справочная: пн-вс 10:00-23:00),89002310099 (единый номер: пн-пт 9:00-23:00; сб-вс 10:00-00:00),,,,http://california-cafe.ru,,https://vk.com/california_cafe,https://wa.me/79002310099,,,,,,,,44.990685,41.128117,https://2gis.com/firm/70000001006440150
