Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Алекс,кафе,Кафе,"Минеральная, 13а",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+03:00,,,89312818671,,,,,,,,,,https://wa.me/79312818671,,,,,,,,59.966068,30.376278,https://2gis.com/firm/70000001066299355
Fitfresh,фитнес-бар,Кафе,"площадь Растрелли, 2",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00,+03:00,2.5,2,89657664456,89111196373,,,,,,,,https://vk.com/fitfresh_spb,https://wa.me/79618102090,https://wa.me/79111196373,,viber://chat/?number=79618102090,,https://t.me/+79117990071,,,59.950268,30.38795,https://2gis.com/firm/70000001044268745
Ленинградский экспресс,кафе с обслуживанием в виде железной дороги и поездов,Кафе,"Малый проспект В.О., 54 к2",,199178,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,,,,,,,,http://lenexbar.ru,,,,https://vk.com/len_express,,,,,,,,,59.941937,30.257336,https://2gis.com/firm/70000001081149818
Бобёр,кафе,Кафе,"Бобруйская, 11 лит А",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+03:00,,,,,,,,,,,,,,,,,,,,,59.965729,30.353996,https://2gis.com/firm/70000001044608907
Grand lion,кафе,Кафе; Доставка готовых блюд,"улица Садовая, 59",1 этаж,190068,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.1,9,89522056525,89119530918,,,,,,,,https://vk.com/cafegrandlion,,,,,,,,,59.922548,30.306923,https://2gis.com/firm/70000001044922363
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"улица Политехническая, 1д",,194021,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,8,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.990581,30.352755,https://2gis.com/firm/70000001033296934
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"бульвар Александра Грина, 3 ст1",1 этаж,199225,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,36,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.936418,30.202044,https://2gis.com/firm/70000001047735600
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"проспект Маршала Блюхера, 9 к1",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,33,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.97962,30.376785,https://2gis.com/firm/70000001048365472
Кебаб,кафе,Быстрое питание; Доставка готовых блюд; Кафе,"улица Челюскина, 2 ст1",,199225,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,17,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.941367,30.194606,https://2gis.com/firm/70000001055542172
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"Вилькицкий бульвар, 7 ст1",1 этаж,199225,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,15,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.937836,30.197339,https://2gis.com/firm/70000001056213804
Кебаб,кафе,Кафе,"Ипподромный переулок, 3 к1 ст1",1 этаж,197348,Комендантский аэродром,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,14,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.99985,30.309783,https://2gis.com/firm/70000001065069462
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"улица Полевая Сабировская, 47 к1",1 этаж,197348,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.8,7,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.996351,30.274318,https://2gis.com/firm/70000001065136196
Шаверма,кафе-бистро,Быстрое питание; Кафе,"Нарвский проспект, 31",1 этаж,190020,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.1,32,,,,,,,,,,,,,,,,,,,59.902143,30.273234,https://2gis.com/firm/70000001048169697
Время-ч,,Бары; Караоке-залы; Кафе,"улица Марата, 53",,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Ср: 20:00-06:00; Чт: 20:00-06:00; Пт: 20:00-06:00; Сб: 20:00-06:00; Вс: 20:00-06:00,+03:00,,,,,,,,,,,,https://vk.com/bar_4ertpoberi,,,,,,,,,59.922946,30.348746,https://2gis.com/firm/70000001050080526
Кафе,,Кафе; Доставка готовых блюд,"Стрельбищенская, 16",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,,,59.886588,30.35943,https://2gis.com/firm/70000001054954829
Лето,кафе,Кафе,"Белоостровская, 20",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,2.0,9,89052192681,,,,,,,,,,,,,,,,,,59.986922,30.318296,https://2gis.com/firm/70000001055689933
Кафе узбекской кухни,,Кафе,"Моисеенко, 43",1 этаж,191144,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-18:30; Вт: 07:30-18:30; Ср: 07:30-18:30; Чт: 07:30-18:30; Пт: 07:30-18:30; Сб: 07:30-18:30; Вс: 07:30-18:30,+03:00,1.0,1,89045592103,,,,,,,,,,,,,,,,,,59.937404,30.39397,https://2gis.com/firm/70000001054809637
Кафе узбекской кухни,,Кафе,"улица Уральская, 13 лит Ш",1 этаж,199155,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,5,89602324545,89052079484,,,,,,,,,,,,,,,,,59.953041,30.265,https://2gis.com/firm/70000001064598111
Кафе узбекской кухни,,Кафе; Доставка готовых блюд,"улица Черняховского, 33",цокольный этаж,191119,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,3,89113210502,,,,,,,,,,https://wa.me/79113210502,,,,,,,,59.918358,30.35789,https://2gis.com/firm/70000001064810572
Кафе,г. Санкт-Петербург,Кафе,"улица Смоляная, 21",1 этаж,192019,Невская застава,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+03:00,,,89045143486,,,,,,,,,,,,,,,,,,59.901568,30.386947,https://2gis.com/firm/70000001064894006
Кафе,,Кафе,"улица Садовая, 28-30 к27",2 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,2.3,3,,,,,,,,,,,,,,,,,,,59.92885,30.327234,https://2gis.com/firm/70000001065131928
Кафе,,Кафе,"улица Жукова, 18",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,,,59.967216,30.385248,https://2gis.com/firm/70000001065489806
JJM X-FIT cafe,,Кафе,"улица Кораблестроителей, 32 к2",1 этаж,199058,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,59.953779,30.215024,https://2gis.com/firm/70000001066051515
Кафе,,Кафе,"улица Камчатская, 3 лит А",,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,,,,,,,,,,,,,,,,,,,,,59.904512,30.35454,https://2gis.com/firm/70000001066369223
Lighthouse,Концепт Кейтеринг,Кафе; Бары,"Рюхина улица, 3 лит Б",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.4,7,89164989828 (директор),89217712737,,,,http://concept-catering.ru,,,,,,,,,,,,,59.973717,30.256453,https://2gis.com/firm/70000001066809666
Кафетерий,,Кафе,"улица Куйбышева, 2-4",цокольный этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-20:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (санитарный день: последний пн месяца),+03:00,,,,,,,,,,,,,,,,,,,,,59.954765,30.325765,https://2gis.com/firm/70000001067987479
Кафе,филиал Санкт-Петербургское управление общественного питания,Кафе,"Южная дорога, 30а",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.0,1,,,,,,,,,,,,,,,,,,,59.970907,30.211769,https://2gis.com/firm/70000001069434458
Привет из Батуми,кафе,Кафе,"улица Садовая, 84",,190008,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,,,89811329010,,,,,,,,,,,,,,,,,,59.918862,30.292622,https://2gis.com/firm/70000001081165686
Кафе,,Кафе,"Нефтяная дорога, 1в",,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,,,,,,,,,,,,,,,,,,,,,59.911332,30.3643,https://2gis.com/firm/70000001075598913
Вкус Food,кафе,Кафе,,,195220,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,17,89119994539,,,,,,,,,,https://wa.me/79119994539,,,,,,,,59.988562,30.371079,https://2gis.com/firm/70000001075600909
Az,кафе,Кафе,"улица Садовая, 28-30 к27",,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,89523979817,,,,,http://az-cafe.ru,,,,,,,,,,,,,59.929031,30.326685,https://2gis.com/firm/70000001075707383
Мира,кафе-бар,Бары; Кафе,"Лермонтовский проспект, 49",цокольный этаж,190103,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-03:00; Сб: 11:00-03:00; Вс: 11:00-23:00,+03:00,,,89939570806 (администратор),,,,,,,,,,,,,,,,,,59.912789,30.297353,https://2gis.com/firm/70000001075720602
Кафе,,Кафе,"Оборонная улица, 10",2 этаж,198095,Нарвский,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:30-17:00; Вт: 09:30-17:00; Ср: 09:30-17:00; Чт: 09:30-17:00; Пт: 09:30-17:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,59.893809,30.267392,https://2gis.com/firm/70000001076136031
Светлое кафе,,Кафе,,,199225,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,5.0,5,,,,,,,,,,,,,,,,,,,59.938435,30.197711,https://2gis.com/firm/70000001079749160
Баракарт,кафе,Кафе; Доставка готовых блюд,"улица Савушкина, 12",,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,89992173901,,,,,,,,,,https://wa.me/79992173901,,,,,,,,59.985448,30.296829,https://2gis.com/firm/70000001080015990
Rent,кафе,Кафе,"улица Херсонская, 43/12",,191167,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,,,,,,,,,,,,,,,,,,,,,59.926932,30.384216,https://2gis.com/firm/70000001080263910
Кафе восточной кухни,,Кафе,"Рижский проспект, 70",1 этаж,198035,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,,,89316302001,,,,,,,,,,https://wa.me/79316302001,,,,,,,,59.912985,30.271029,https://2gis.com/firm/70000001080309153
Цзянху,кафе китайской кухни,Кафе; Доставка готовых блюд,"5-я линия В.О., 62",цокольный этаж,199004,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:30-00:30; Вт: 14:30-00:30; Ср: 14:30-00:30; Чт: 14:30-00:30; Пт: 14:30-00:30; Сб: 14:30-00:30; Вс: 14:30-00:30,+03:00,,,,,,,,,,,,,,,,,,,,,59.947495,30.276381,https://2gis.com/firm/70000001081064037
Китайский буфет,,Кафе,"Сытнинская площадь, 3",,197101,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,5.0,1,88126286888,,,,,,,,,,,,,,,,,,59.957226,30.311436,https://2gis.com/firm/70000001081145531
Рабочий полдень,кафе,Кафе,"улица Салова, 45ф",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+03:00,4.0,1,,,,,,,,,,,,,,,,,,,59.890612,30.38305,https://2gis.com/firm/70000001019154834
Гепард,кафе,Кафе,"улица Салова, 57 к1",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.2,11,,,,,,,,,,,,,,,,,,,59.887553,30.375218,https://2gis.com/firm/5348552841419235
Мари`Ко,кафе-пекарня грузинской кухни,Кафе; Пекарни,"Овцинская улица, 68Б",,188682,Овцыно м-н,,,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,4.7,6,89052348755,,,,,,,,,https://vk.com/club193558190,https://wa.me/79052348755,,,,,,,,59.807385,30.617456,https://2gis.com/firm/70000001045929472
Кебаб,кафе,Быстрое питание; Доставка готовых блюд,"Заставская, 44",1 этаж,196006,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,25,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,59.888514,30.317118,https://2gis.com/firm/70000001056939639
Ленинградские булочные,пекарня,Пекарни; Кофейни; Кафе-кондитерские; Кондитерские изделия; Продажа кофе,"Кавалергардская, 14-16",,191015,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,2,88129836503 (единая справочная - пн-пт 8:00-22:00),,,,,http://lenb.ru,,,,,https://wa.me/79602836503,,,viber://chat/?number=79602836503,,https://t.me/+79673440200,,,59.944854,30.382447,https://2gis.com/firm/70000001075316942
Кафе,,Кафе,"улица Салова, 50 лит А",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.9,8,89657696455,89626910336,,,,,,,,,https://wa.me/79626910336,,,,,,,,59.89036,30.387446,https://2gis.com/firm/70000001019153965
Okna,кафе,Кофейни,"набережная реки Фонтанки, 59",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-20:00,+03:00,4.2,16,,,,,,,,,,,,,,,,,,,59.92774,30.332342,https://2gis.com/firm/70000001030362806
Хлебник,пекарня,Пекарни; Кафе; Кофейни,"Московский проспект, 166",,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,,,,,,,,http://xleb.ru,,,,https://vk.com/xlebnikspb,,,,,,https://t.me/xlebnik_bakery,,https://youtube.com/channel/UC8xBZvdg8ksAh39N-PP95Gg,59.878916,30.32067,https://2gis.com/firm/70000001081134466
Кафе,,Кафе,"Автогенная, 6",1 этаж,192148,Невская застава,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-15:00; Вт: 12:00-15:00; Ср: 12:00-15:00; Чт: 12:00-15:00; Пт: 12:00-15:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,59.897155,30.404667,https://2gis.com/firm/70000001007100037
Чайка,ресторан на воде,Рестораны; Доставка готовых блюд,"набережная Мартынова, 40а",,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.6,37,88129194273,,,,,http://white-group.ru,,,,,,,,,,,,,59.975342,30.254707,https://2gis.com/firm/70000001018792599
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кофейни; Кондитерские изделия; Кулинарии; Пекарни,"Смолячкова, 12",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.5,14,88125425564,,,,,http://sever-metropol.ru,,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.971009,30.3433,https://2gis.com/firm/5348552838577653
Кафе,,Кафе,"улица Возрождения, 42",3 этаж,198188,Автово,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,,,,,,,,,,,,,,,,,,,59.879748,30.285539,https://2gis.com/firm/70000001078613555
Laboratorio distilita,бар,Бары,"Гражданская, 13-15",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-01:00,+03:00,4.2,33,89214366876,,,,,,,,,https://vk.com/laboratoriodistilita,,,,,,https://t.me/laboratorio_distilita,,,59.928403,30.311855,https://2gis.com/firm/70000001027866747
Витамин,кафе,Столовые,"Московский проспект, 131",2 этаж,196006,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.5,11,88123245522,88123245521,,,,,,,,,,,,,,,,,59.884035,30.316972,https://2gis.com/firm/5348552839600758
Мишка bakery,пекарня,Пекарни; Кофейни; Кондитерские изделия; Мороженое,"Лабораторный проспект, 20 к3",1 этаж,195272,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:30; Вт: 08:00-22:30; Ср: 08:00-22:30; Чт: 08:00-22:30; Пт: 08:00-22:30; Сб: 08:00-22:30; Вс: 08:00-22:30,+03:00,3.9,18,89650781577,,,,,,,,,https://vk.com/mishka_bakery,,,,,,,,,59.98329,30.385524,https://2gis.com/firm/70000001033410223
Пиала,кафе восточной кухни,Кафе; Доставка готовых блюд,"улица Генерала Кравченко, 8",1 этаж,198264,Сосновая Поляна,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.7,7,89119328708,,,,,,,,,,,,,,,,,,59.83819,30.105154,https://2gis.com/firm/70000001057518037
Вкусно — и точка,кафе,Кофейни,"площадь Александра Невского, 2",2 этаж,191317,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 06:30-23:30; Вт: 06:30-23:30; Ср: 06:30-23:30; Чт: 06:30-23:30; Пт: 06:30-23:30; Сб: 06:30-23:30; Вс: 06:30-23:30,+03:00,3.0,2,,,,,,http://vkusnoitochka.ru,,,,https://vk.com/vkusno_itochka,,,,,,https://t.me/vit_russia,,,59.9243,30.385646,https://2gis.com/firm/70000001034001813
