Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Ride100mx,магазин,Спортивная одежда / обувь; Спортивный инвентарь; Мототехника; Запчасти для мототехники,"Ждановская набережная, 7",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,3.8,6,89211832233 (единый номер),88005001863,,,,http://ride100mx.ru,,,,https://vk.com/ride100mx,,,,,,https://t.me/ridestomx,,,,,59.953525,30.288041,https://2gis.com/firm/70000001030273099
Продуктовый магазин,,Супермаркеты,"Московский проспект, 4",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,59.925171,30.318416,https://2gis.com/firm/70000001024544336
Магнит,супермаркет,Супермаркеты,"улица Николая Рубцова, 3 ст1",1 этаж,194363,Парголово пос.,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.9,10,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.075445,30.348633,https://2gis.com/firm/70000001046512592
Venusshop,магазин,Эротические товары,"Невский проспект, 102",1 этаж,191025,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.1,11,89650433580,,,,,,,,,,,,,,,,,,,,59.932324,30.356496,https://2gis.com/firm/70000001035452015
Алма,продуктовый магазин,Продуктовые магазины,"Профессора Попова, 38 к1",1 этаж,197136,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,59.9712,30.298475,https://2gis.com/firm/70000001019507817
Мир шитья,магазин,Ткани; Швейная фурнитура; Швейное оборудование; Товары для творчества и рукоделия; Курсы творчества и рукоделия для взрослых,"Тележный переулок, 3",1 этаж,191024,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.8,6,88126556732,88126556726,,,,http://www.sew-world.ru,,,,https://vk.com/sew_world,,,,,,,,,https://youtube.com/channel/UClK3KpxI0YtCliBxE5bXQqQ,,59.928418,30.374101,https://2gis.com/firm/5348552839179565
Хороший чай,магазин,Сувениры; Продажа чая,"Новочеркасский проспект, 43",1 этаж,195196,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,3.8,5,89112678200,,,,,,,,,https://vk.com/goodtea_novoche,https://wa.me/79626962666,,,viber://chat/?number=79626962666,,,,,,,59.928309,30.41109,https://2gis.com/firm/5348553838660628
Бристоль,магазин у дома,Алкогольные напитки; Супермаркеты,"Витебский проспект, 101 к4 ст1",1 этаж,196233,Гагаринское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,,,,,,http://bristol.ru,,,,https://vk.com/bristol_retail,,,,,,https://t.me/bristolretail,,,,,59.828585,30.3689,https://2gis.com/firm/70000001076592285
Продуктовый магазин,,Продуктовые магазины,"Гданьская, 15",1 этаж,194017,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.2,4,,,,,,,,,,,,,,,,,,,,,60.016055,30.330183,https://2gis.com/firm/5348552838510528
Верный,супермаркет,Супермаркеты,"Петергофское шоссе, 17 к1",1 этаж,198328,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.8,6,88002506648 (горячая линия: круглосуточно),88126010110,,,,http://www.verno-info.ru,,,,https://vk.com/verny_official,,,,,,,,,,,59.847686,30.188309,https://2gis.com/firm/70000001045449513
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"шоссе в Лаврики, 89",1 этаж,188678,Центральный м-н,,Мурино,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.5,19,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,60.066559,30.456901,https://2gis.com/firm/70000001028846289
Дикси,супермаркет,Супермаркеты,"Корнея Чуковского, 10",1 этаж,195113,Полюстрово,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.4,17,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,60.030747,30.455949,https://2gis.com/firm/70000001023867026
Ревень,супермаркет,Супермаркеты,"аллея Поликарпова, 2",1 этаж,197341,Комендантский аэродром,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.2,5,88007001077 (единая справочная: пн-вс 9:00-23:00),,,,,http://myfasol.ru,,,,,,,,,,,,,,,60.006453,30.293929,https://2gis.com/firm/5348553838914568
Mirka flowers,магазин,Цветы; Доставка цветов; Услуги по упаковке подарков; Подарочная упаковка; Семена / Посадочный материал,"Средний проспект В.О., 70",1 этаж,199178,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.1,19,89112631747,89118249792,,cnida@mail.ru,,http://taplink.cc/mirka.flowers,,,,https://vk.com/club91387134,https://wa.me/79112631747,,,,,https://t.me/+79112631747,,,,,59.938851,30.264264,https://2gis.com/firm/70000001007348936
Falke,магазин,Чулочно-носочные изделия,"Невский проспект, 48",27 секция; 1 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,1.0,1,88124932249,,,,,http://myfalke.ru,,,,,,,,,,,,,,,59.935313,30.334635,https://2gis.com/firm/70000001023524465
Красное&Белое,магазин,Алкогольные напитки,"проспект Солидарности, 11 к1 лит В",1 этаж,193312,Оккервиль,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,,,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.920102,30.491509,https://2gis.com/firm/70000001062930497
Удобный,мини-маркет,Супермаркеты,"улица Швецова, 10",1 этаж,198095,Нарвский,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,59.897275,30.281401,https://2gis.com/firm/5348552841477429
Тапир-первый табачный,магазин,Табачные изделия / Товары для курения; Электронные сигареты,"Светлановский проспект, 66",1 этаж,195297,Прометей,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,47,89312761776 (единый номер: пн-вс 9:00-19:00),,,,,http://tapir-tbc.ru,,,,https://vk.com/tabak_one,https://wa.me/79312761776,,,,,https://t.me/pervtab,,,,,60.040684,30.398749,https://2gis.com/firm/70000001028742039
Магазин продуктов,,Продуктовые магазины; Табачные изделия / Товары для курения; Алкогольные напитки,"улица Большая Пороховская, 29",1 этаж,195176,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,2,,,,,,,,,,,,,,,,,,,,,59.953243,30.419357,https://2gis.com/firm/70000001033809745
Икра и Рыба,магазин,Рыба / Морепродукты,"Московский проспект, 195",1 этаж,196066,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.0,7,89944401010,,,,,http://икраирыба.рф,,,,https://vk.com/ikrairybaspb,,,,,,,,,https://youtube.com/channel/UCOXWR63gSdk_MleICLXQ_WA,,59.850265,30.320962,https://2gis.com/firm/70000001046290667
Бристоль,магазин у дома,Алкогольные напитки; Супермаркеты,"Планерная улица, 87 к1",,197373,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,,,,,,http://bristol.ru,,,,https://vk.com/bristol_retail,,,,,,https://t.me/bristolretail,,,,,60.030564,30.201981,https://2gis.com/firm/70000001079098658
Гурман,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Яхтенная, 34 ст1",1 этаж,197082,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,10,89650303003,89626842542,,,,,,,,,https://wa.me/79626842542,,,,,,,,,,60.0044,30.223523,https://2gis.com/firm/70000001056385555
Мини-маркет,,Супермаркеты,"улица Варшавская, 19 к2",1 этаж,196128,Новоизмайловское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,59.874267,30.312628,https://2gis.com/firm/70000001067849852
Идеал,продуктовый магазин,Супермаркеты,"Заставская, 46 к3",1 этаж,196006,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,6,,,,,,,,,,,,,,,,,,,,,59.885076,30.31409,https://2gis.com/firm/70000001045952201
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"Каштановая аллея, 3",1 этаж,188691,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.0,3,"88123216060 (доп.5346, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,59.915877,30.512478,https://2gis.com/firm/70000001057660251
Красное&Белое,магазин,Алкогольные напитки,"проспект Энгельса, 22 лит А",1 этаж,194156,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.0,1,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,60.002677,30.325607,https://2gis.com/firm/70000001050841124
Viva Vine,винный магазин,Алкогольные напитки; Продуктовые магазины,"улица Парашютная, 42 к2 ст1",1 этаж,197371,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,1.0,2,89990603523,88129003523,,,,,,,,https://vk.com/vivavine,https://wa.me/79618000812,,,,,https://t.me/zaycev_igor,,,,,60.029137,30.249654,https://2gis.com/firm/70000001049122468
У дома,мини-маркет,Супермаркеты,"Кондратьевский проспект, 64 к2",1 этаж,195271,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,59.982103,30.394526,https://2gis.com/firm/70000001026762872
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"проспект Луначарского, 15 к1",1 этаж,194354,Сосновское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.5,2,"88123216060 (доп.5150, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,60.041701,30.33323,https://2gis.com/firm/70000001021020272
Dart vaper,магазин,Табачные изделия / Товары для курения; Электронные сигареты,"улица Куйбышева, 36",1 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,89811715616,,,,,,,,,,,,,,,,,,,,59.957749,30.333,https://2gis.com/firm/70000001079727231
Всё для дома,магазин,Хозяйственные товары,"улица Садовая, 28-30 к47",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+03:00,,,89219824172,,,,,,,,,https://vk.com/alltohome,https://wa.me/79219824172,,,,,https://t.me/+79219824172,,,,,59.928834,30.329865,https://2gis.com/firm/70000001075340228
Eurospar,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Токарева, 15",1 этаж,197706,Сестрорецк г.,Курортный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,23,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,http://myspar.ru,,,,https://vk.com/spar.russia,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,60.092548,29.956911,https://2gis.com/firm/70000001055992692
Уникальное Кроссовочное Пространство,магазин,Спортивная одежда / обувь,"1-я Красноармейская улица, 2",цокольный этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,,,89657808307,,,,,,,,,https://vk.com/ykpsneakers,,,,,,https://t.me/+79657808307,,,,,59.915997,30.317527,https://2gis.com/firm/70000001075737501
Продуктовый магазин,,Продуктовые магазины,"улица Кораблестроителей, 16 к3",1 этаж,199226,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,59.941932,30.211555,https://2gis.com/firm/70000001036478936
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Воронцовский бульвар, 3 к1",1 этаж,188687,,,,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 09:00-23:30; Вт: 09:00-23:30; Ср: 09:00-23:30; Чт: 09:00-23:30; Пт: 09:00-23:30; Сб: 09:00-23:30; Вс: 09:00-23:30,+03:00,2.3,18,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.052408,30.414083,https://2gis.com/firm/70000001064890111
Cozy Home,магазин,Постельные принадлежности / Текстиль для дома; Ароматовары; Трикотажные изделия; Посуда,"проспект Энгельса, 154 лит А",1 этаж,194358,Шувалово-Озерки,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,6,88007771872 (доп.6117),,,,,http://cozyhome.ru,http://zen.yandex.ru/cozyhome,,,https://vk.com/cozyhomerus,,,,,,https://t.me/cozyhomerus,,,,,60.058688,30.337125,https://2gis.com/firm/70000001040972839
Бристоль,магазин у дома,Алкогольные напитки; Супермаркеты,"улица Маршала Захарова, 21 лит Е",1 этаж,198328,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,,,,,,http://bristol.ru,,,,https://vk.com/bristol_retail,,,,,,https://t.me/bristolretail,,,,,59.853409,30.191625,https://2gis.com/firm/70000001058989641
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"улица Савушкина, 19",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.0,2,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.985487,30.287853,https://2gis.com/firm/70000001035058332
Белая вода,мини-маркет,Супермаркеты,"улица Большая Конюшенная, 1",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,10,,,,,,,,,,,,,,,,,,,,,59.941171,30.324198,https://2gis.com/firm/70000001021304231
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"Комендантский проспект, 59 к1 ст1",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,"88123216060 (доп.5345, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,60.034111,30.231074,https://2gis.com/firm/70000001059371813
Смокхев,магазин,Табачные изделия / Товары для курения; Электронные сигареты; Пункты приёма,"Кременчугская улица, 13 к1",1 этаж; вход через магазин Uppetit,191167,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.6,7,89995362386,,,elizaveta.borozdina@yandex.ru,,info2gis.tilda.ws/proxy18?target=https://vk.com/public195579347&back=https://go.2gis.com/ze1g0&mode=0,,,,https://vk.com/public195579347,https://wa.me/79995362386,,,,,https://t.me/+79819751374,,,,,59.922191,30.370399,https://2gis.com/firm/70000001066884142
Пятёрочка,супермаркет,Супермаркеты,"проспект КИМа, 4",,199155,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.94909,30.242699,https://2gis.com/firm/70000001079199143
Империя ножей,магазин,Ножи,"Ленинский проспект, 155",1 этаж,196191,Новоизмайловское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,5.0,2,89312484767,,,,,http://eknives.ru,,,,https://vk.com/eknives,https://wa.me/79312484767,,,,,https://t.me/empireofknives,,,https://youtube.com/channel/UCPsF8PnbF9hO81IfO0BnBBg,,59.851516,30.309975,https://2gis.com/firm/70000001053180737
Планета инструмент,магазин,Электроинструмент; Бензоинструмент; Слесарно-монтажный инструмент; Сварочное оборудование; Ремонт бензоинструмента,"улица Маршала Говорова, 37",1 этаж,198095,Нарвский,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-19:00,+03:00,5.0,3,88126400383 (магазин),89313800298 (сервисный центр),,,,http://planetainstrument.ru,,,,https://vk.com/planetainstrument,,,,,,https://t.me/planetainstrument,,,,,59.892833,30.282268,https://2gis.com/firm/5348552838533825
Красное&Белое,магазин,Алкогольные напитки,"проспект Александровской Фермы, 8",1 этаж,192174,Обуховский,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,2.4,5,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.862847,30.452788,https://2gis.com/firm/70000001031893210
Продуктовый магазин,,Продуктовые магазины,"проспект Ударников, 30 к1",1 этаж,195279,Пороховые,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,59.952309,30.471964,https://2gis.com/firm/70000001027669946
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"Ленина, 44",1 этаж,197136,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,"88123216060 (доп.5164, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,59.96467,30.297642,https://2gis.com/firm/5348552838505675
